"Number of Establishments  Employing 20 or More Workers by Mode of Learning about ECP and Major Industry Group, Philippines: 2017"
"https://openstat.psa.gov.ph/PXWeb/pxweb/en/DB/DB__1B__ISLE__ECP/0021B3E9020.px/table/tableViewLayout1/?rxid=8f93a501-56de-4185-b800-b85adb27d886"
"Mode of Learning about ECP";"Major Industry Group";"2017"
"Train wrap on MRT/LRT";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";13
"Train wrap on MRT/LRT";"..Transportation and Storage";2
"Train wrap on MRT/LRT";"..Accommodation and Food Service Activities";21
"Train wrap on MRT/LRT";"..Information and Communication";..
"Train wrap on MRT/LRT";"..Financial and Insurance Activities";8
"Train wrap on MRT/LRT";"..Real Estate Activities";..
"Train wrap on MRT/LRT";"..Professional, Scientific and Technical Activities";6
"Train wrap on MRT/LRT";"..Administrative and Support Service Activities";11
"Train wrap on MRT/LRT";"..Education Except Public Education";1
"Train wrap on MRT/LRT";"..Human Health and Social Work Activities Except Public Health Activities";..
"Train wrap on MRT/LRT";"..Arts, Entertainment and  Recreation";..
"Train wrap on MRT/LRT";"..Repair of Computers and Personal and Household Goods; Other Personal Service Activities";..
"Tarpaulin on MRT/LRT";"ALL INDUSTRIES";95
"Tarpaulin on MRT/LRT";"..Agriculture, Forestry and Fishing";..
"Tarpaulin on MRT/LRT";"..Mining and Quarrying";..
"Tarpaulin on MRT/LRT";"..Manufacturing";18
"Tarpaulin on MRT/LRT";"..Electricity, Gas, Steam and Air Conditioning Supply";1
"Tarpaulin on MRT/LRT";"..Water Supply; Sewerage, Waste Management and Remediation Activities";..
"Tarpaulin on MRT/LRT";"..Construction";2
"Tarpaulin on MRT/LRT";"..Wholesale and Retail Trade; Repair of Motor Vehicles and Motorcycles";37
"Tarpaulin on MRT/LRT";"..Transportation and Storage";..
